2024-09-13T22:55:33.864Z - Tx: 4900, Rate: 4.94 tx/s, Errors: {"unknown":11}
2024-09-13T22:55:54.760Z - Tx: 5000, Rate: 4.93 tx/s, Errors: {"unknown":12}
2024-09-13T22:56:14.926Z - Tx: 5100, Rate: 4.93 tx/s, Errors: {"unknown":12}
2024-09-13T22:56:34.804Z - Tx: 5200, Rate: 4.94 tx/s, Errors: {"unknown":12}
2024-09-13T22:58:01.629Z - Tx: 5300, Rate: 4.65 tx/s, Errors: {"unknown":18}
2024-09-13T22:58:21.263Z - Tx: 5400, Rate: 4.66 tx/s, Errors: {"unknown":18}
2024-09-13T22:59:45.355Z - Tx: 5500, Rate: 4.42 tx/s, Errors: {"unknown":22}
2024-09-13T23:00:05.609Z - Tx: 5600, Rate: 4.43 tx/s, Errors: {"unknown":22}
2024-09-13T23:01:30.889Z - Tx: 5700, Rate: 4.22 tx/s, Errors: {"unknown":25}
2024-09-13T23:01:49.544Z - Tx: 5800, Rate: 4.24 tx/s, Errors: {"unknown":26}
2024-09-13T23:02:09.168Z - Tx: 5900, Rate: 4.25 tx/s, Errors: {"unknown":26}
2024-09-13T23:03:35.483Z - Tx: 6000, Rate: 4.07 tx/s, Errors: {"unknown":31}
2024-09-13T23:03:55.092Z - Tx: 6100, Rate: 4.08 tx/s, Errors: {"unknown":31}
2024-09-13T23:05:21.133Z - Tx: 6200, Rate: 3.92 tx/s, Errors: {"unknown":36}
2024-09-13T23:05:40.497Z - Tx: 6300, Rate: 3.94 tx/s, Errors: {"unknown":36}
2024-09-13T23:07:04.411Z - Tx: 6400, Rate: 3.80 tx/s, Errors: {"unknown":40}
2024-09-13T23:07:24.300Z - Tx: 6500, Rate: 3.82 tx/s, Errors: {"unknown":40}
2024-09-13T23:08:49.499Z - Tx: 6600, Rate: 3.69 tx/s, Errors: {"unknown":46}
2024-09-13T23:09:09.363Z - Tx: 6700, Rate: 3.71 tx/s, Errors: {"unknown":46}
2024-09-13T23:10:35.323Z - Tx: 6800, Rate: 3.59 tx/s, Errors: {"unknown":52}
2024-09-13T23:10:55.585Z - Tx: 6900, Rate: 3.60 tx/s, Errors: {"unknown":52}
2024-09-13T23:12:19.257Z - Tx: 7000, Rate: 3.50 tx/s, Errors: {"unknown":56}
2024-09-13T23:12:40.224Z - Tx: 7100, Rate: 3.52 tx/s, Errors: {"unknown":56}
2024-09-13T23:14:04.082Z - Tx: 7200, Rate: 3.42 tx/s, Errors: {"unknown":60}
2024-09-13T23:14:24.389Z - Tx: 7300, Rate: 3.44 tx/s, Errors: {"unknown":60}
2024-09-13T23:15:48.144Z - Tx: 7400, Rate: 3.35 tx/s, Errors: {"unknown":64}
2024-09-13T23:16:08.871Z - Tx: 7500, Rate: 3.37 tx/s, Errors: {"unknown":64}
2024-09-13T23:16:28.092Z - Tx: 7600, Rate: 3.38 tx/s, Errors: {"unknown":64}
2024-09-13T23:16:48.226Z - Tx: 7700, Rate: 3.40 tx/s, Errors: {"unknown":65}
2024-09-13T23:17:08.313Z - Tx: 7800, Rate: 3.41 tx/s, Errors: {"unknown":65}
2024-09-13T23:17:28.332Z - Tx: 7900, Rate: 3.42 tx/s, Errors: {"unknown":65}
2024-09-13T23:17:48.232Z - Tx: 8000, Rate: 3.44 tx/s, Errors: {"unknown":65}
2024-09-13T23:18:08.582Z - Tx: 8100, Rate: 3.45 tx/s, Errors: {"unknown":65}
2024-09-13T23:18:28.423Z - Tx: 8200, Rate: 3.46 tx/s, Errors: {"unknown":65}
2024-09-13T23:18:48.691Z - Tx: 8300, Rate: 3.48 tx/s, Errors: {"unknown":65}
2024-09-13T23:19:08.588Z - Tx: 8400, Rate: 3.49 tx/s, Errors: {"unknown":65}
2024-09-13T23:19:28.488Z - Tx: 8500, Rate: 3.50 tx/s, Errors: {"unknown":65}
2024-09-13T23:20:54.185Z - Tx: 8600, Rate: 3.42 tx/s, Errors: {"unknown":70}
2024-09-13T23:21:13.311Z - Tx: 8700, Rate: 3.44 tx/s, Errors: {"unknown":70}
2024-09-13T23:21:33.381Z - Tx: 8800, Rate: 3.45 tx/s, Errors: {"unknown":70}
2024-09-13T23:21:53.146Z - Tx: 8900, Rate: 3.46 tx/s, Errors: {"unknown":70}
2024-09-13T23:22:13.294Z - Tx: 9000, Rate: 3.47 tx/s, Errors: {"unknown":70}
2024-09-13T23:22:33.425Z - Tx: 9100, Rate: 3.48 tx/s, Errors: {"unknown":70}
2024-09-13T23:22:55.236Z - Tx: 9200, Rate: 3.49 tx/s, Errors: {"unknown":72}
2024-09-13T23:23:15.303Z - Tx: 9300, Rate: 3.50 tx/s, Errors: {"unknown":72}
2024-09-13T23:24:39.343Z - Tx: 9400, Rate: 3.43 tx/s, Errors: {"unknown":75}
2024-09-13T23:24:59.183Z - Tx: 9500, Rate: 3.44 tx/s, Errors: {"unknown":75}
2024-09-13T23:26:24.141Z - Tx: 9600, Rate: 3.38 tx/s, Errors: {"unknown":79}
2024-09-13T23:26:44.376Z - Tx: 9700, Rate: 3.39 tx/s, Errors: {"unknown":80}
2024-09-13T23:27:04.632Z - Tx: 9800, Rate: 3.40 tx/s, Errors: {"unknown":80}
2024-09-13T23:27:24.218Z - Tx: 9900, Rate: 3.41 tx/s, Errors: {"unknown":80}
2024-09-13T23:27:44.694Z - Tx: 10000, Rate: 3.42 tx/s, Errors: {"unknown":81}
2024-09-13T23:28:04.279Z - Tx: 10100, Rate: 3.43 tx/s, Errors: {"unknown":81}
2024-09-13T23:29:30.731Z - Tx: 10200, Rate: 3.37 tx/s, Errors: {"unknown":86}
2024-09-13T23:29:50.499Z - Tx: 10300, Rate: 3.38 tx/s, Errors: {"unknown":86}
2024-09-13T23:30:10.509Z - Tx: 10400, Rate: 3.39 tx/s, Errors: {"unknown":86}
2024-09-13T23:30:30.319Z - Tx: 10500, Rate: 3.40 tx/s, Errors: {"unknown":86}
2024-09-13T23:30:49.525Z - Tx: 10600, Rate: 3.41 tx/s, Errors: {"unknown":86}
2024-09-13T23:31:09.911Z - Tx: 10700, Rate: 3.42 tx/s, Errors: {"unknown":86}
2024-09-13T23:31:29.299Z - Tx: 10800, Rate: 3.43 tx/s, Errors: {"unknown":86}
2024-09-13T23:31:49.255Z - Tx: 10900, Rate: 3.44 tx/s, Errors: {"unknown":86}
2024-09-13T23:32:09.402Z - Tx: 11000, Rate: 3.45 tx/s, Errors: {"unknown":86}
2024-09-13T23:32:29.337Z - Tx: 11100, Rate: 3.46 tx/s, Errors: {"unknown":86}
2024-09-13T23:32:49.540Z - Tx: 11200, Rate: 3.47 tx/s, Errors: {"unknown":86}
2024-09-13T23:33:09.723Z - Tx: 11300, Rate: 3.48 tx/s, Errors: {"unknown":86}
2024-09-13T23:33:29.756Z - Tx: 11400, Rate: 3.49 tx/s, Errors: {"unknown":86}
2024-09-13T23:34:56.545Z - Tx: 11500, Rate: 3.43 tx/s, Errors: {"unknown":91}
2024-09-13T23:35:16.314Z - Tx: 11600, Rate: 3.44 tx/s, Errors: {"unknown":91}
2024-09-13T23:35:35.643Z - Tx: 11700, Rate: 3.45 tx/s, Errors: {"unknown":91}
2024-09-13T23:35:55.393Z - Tx: 11800, Rate: 3.46 tx/s, Errors: {"unknown":91}
2024-09-13T23:36:15.313Z - Tx: 11900, Rate: 3.47 tx/s, Errors: {"unknown":91}
2024-09-13T23:36:35.321Z - Tx: 12000, Rate: 3.47 tx/s, Errors: {"unknown":91}
2024-09-13T23:36:55.406Z - Tx: 12100, Rate: 3.48 tx/s, Errors: {"unknown":91}
2024-09-13T23:37:15.687Z - Tx: 12200, Rate: 3.49 tx/s, Errors: {"unknown":91}
2024-09-13T23:37:35.422Z - Tx: 12300, Rate: 3.50 tx/s, Errors: {"unknown":91}
2024-09-13T23:37:55.345Z - Tx: 12400, Rate: 3.51 tx/s, Errors: {"unknown":91}
2024-09-13T23:38:15.376Z - Tx: 12500, Rate: 3.52 tx/s, Errors: {"unknown":91}
2024-09-13T23:38:35.390Z - Tx: 12600, Rate: 3.53 tx/s, Errors: {"unknown":91}
2024-09-13T23:38:55.494Z - Tx: 12700, Rate: 3.53 tx/s, Errors: {"unknown":91}
2024-09-13T23:39:15.460Z - Tx: 12800, Rate: 3.54 tx/s, Errors: {"unknown":91}
2024-09-13T23:39:35.508Z - Tx: 12900, Rate: 3.55 tx/s, Errors: {"unknown":91}
2024-09-13T23:39:55.561Z - Tx: 13000, Rate: 3.56 tx/s, Errors: {"unknown":91}
2024-09-13T23:40:15.526Z - Tx: 13100, Rate: 3.57 tx/s, Errors: {"unknown":91}
2024-09-13T23:40:35.775Z - Tx: 13200, Rate: 3.57 tx/s, Errors: {"unknown":91}
2024-09-13T23:40:55.599Z - Tx: 13300, Rate: 3.58 tx/s, Errors: {"unknown":91}
2024-09-13T23:41:17.589Z - Tx: 13400, Rate: 3.59 tx/s, Errors: {"unknown":93}
2024-09-13T23:41:37.829Z - Tx: 13500, Rate: 3.59 tx/s, Errors: {"unknown":93}
2024-09-13T23:41:57.638Z - Tx: 13600, Rate: 3.60 tx/s, Errors: {"unknown":93}
2024-09-13T23:42:17.849Z - Tx: 13700, Rate: 3.61 tx/s, Errors: {"unknown":93}
2024-09-13T23:42:37.722Z - Tx: 13800, Rate: 3.62 tx/s, Errors: {"unknown":93}
2024-09-13T23:44:02.145Z - Tx: 13900, Rate: 3.56 tx/s, Errors: {"unknown":96}
2024-09-13T23:44:22.437Z - Tx: 14000, Rate: 3.57 tx/s, Errors: {"unknown":96}
2024-09-13T23:44:42.301Z - Tx: 14100, Rate: 3.58 tx/s, Errors: {"unknown":96}
2024-09-13T23:45:01.234Z - Tx: 14200, Rate: 3.59 tx/s, Errors: {"unknown":96}
2024-09-13T23:45:21.576Z - Tx: 14300, Rate: 3.59 tx/s, Errors: {"unknown":96}
2024-09-13T23:45:41.360Z - Tx: 14400, Rate: 3.60 tx/s, Errors: {"unknown":96}
2024-09-13T23:46:01.354Z - Tx: 14500, Rate: 3.61 tx/s, Errors: {"unknown":96}
2024-09-13T23:46:24.105Z - Tx: 14600, Rate: 3.61 tx/s, Errors: {"unknown":98}
2024-09-13T23:46:43.433Z - Tx: 14700, Rate: 3.62 tx/s, Errors: {"unknown":98}
2024-09-13T23:47:03.670Z - Tx: 14800, Rate: 3.63 tx/s, Errors: {"unknown":98}
2024-09-13T23:47:23.713Z - Tx: 14900, Rate: 3.63 tx/s, Errors: {"unknown":98}
2024-09-13T23:47:44.003Z - Tx: 15000, Rate: 3.64 tx/s, Errors: {"unknown":98}
2024-09-13T23:48:03.473Z - Tx: 15100, Rate: 3.65 tx/s, Errors: {"unknown":98}
2024-09-13T23:48:23.558Z - Tx: 15200, Rate: 3.65 tx/s, Errors: {"unknown":98}
2024-09-13T23:48:44.023Z - Tx: 15300, Rate: 3.66 tx/s, Errors: {"unknown":98}
2024-09-13T23:49:03.894Z - Tx: 15400, Rate: 3.66 tx/s, Errors: {"unknown":98}
2024-09-13T23:49:23.800Z - Tx: 15500, Rate: 3.67 tx/s, Errors: {"unknown":98}
2024-09-13T23:49:43.866Z - Tx: 15600, Rate: 3.68 tx/s, Errors: {"unknown":98}
2024-09-13T23:51:07.797Z - Tx: 15700, Rate: 3.63 tx/s, Errors: {"unknown":101}
2024-09-13T23:51:27.838Z - Tx: 15800, Rate: 3.64 tx/s, Errors: {"unknown":101}
2024-09-13T23:51:47.137Z - Tx: 15900, Rate: 3.64 tx/s, Errors: {"unknown":101}
2024-09-13T23:52:07.416Z - Tx: 16000, Rate: 3.65 tx/s, Errors: {"unknown":102}
2024-09-13T23:52:27.648Z - Tx: 16100, Rate: 3.65 tx/s, Errors: {"unknown":102}
2024-09-13T23:52:47.310Z - Tx: 16200, Rate: 3.66 tx/s, Errors: {"unknown":102}
2024-09-13T23:53:07.492Z - Tx: 16300, Rate: 3.67 tx/s, Errors: {"unknown":102}
2024-09-13T23:54:31.452Z - Tx: 16400, Rate: 3.62 tx/s, Errors: {"unknown":106}
2024-09-13T23:54:51.358Z - Tx: 16500, Rate: 3.63 tx/s, Errors: {"unknown":106}
2024-09-13T23:55:11.321Z - Tx: 16600, Rate: 3.63 tx/s, Errors: {"unknown":106}
2024-09-13T23:55:31.392Z - Tx: 16700, Rate: 3.64 tx/s, Errors: {"unknown":106}
